id,title,description,category,duration,calories,picture,video1,video2,video3,video4,title1,title2,title3,title4,description1,description2,description3,description4,frequent,recent
15,Flutter Kicks,NULL,Core,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
16,Leg Press,NULL,Lower Body,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
17,Dumbbell Rows,NULL,Upper Body,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
18,Bicycle Crunches,NULL,Core,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
19,Wall Sit,NULL,Lower Body,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
20,Battle Ropes,NULL,Cardio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
21,Step-Ups,NULL,Lower Body,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
22,Shoulder Press,NULL,Upper Body,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
23,Sumo Deadlifts,NULL,Strength Training,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
24,Plank Jacks,NULL,Cardio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
25,Glute Bridges,NULL,Lower Body,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
26,Pull-Ups,NULL,Upper Body,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
27,Seated Leg Raises,NULL,Core,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
28,Jump Squats,NULL,Plyometrics,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
29,Farmer's Walk,NULL,Strength Training,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
30,Medicine Ball Slams,NULL,Cardio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
31,High Knees,NULL,Cardio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
32,Pistol Squats,NULL,Lower Body,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
33,Incline Push-Ups,NULL,Upper Body,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
34,Side Lunges,NULL,Lower Body,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
35,Hanging Leg Raises,NULL,Core,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
36,Resistance Band Pull-Aparts,NULL,Upper Body,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
37,Skaters,NULL,Cardio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
38,Tuck Jumps,NULL,Plyometrics,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
39,Reverse Crunches,NULL,Core,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
40,Agility Ladder Drills,NULL,Agility,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
41,Chest Fly,NULL,Upper Body,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
42,Dumbbell Shoulder Press,NULL,Upper Body,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
43,Curtsy Lunges,NULL,Lower Body,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
44,Box Step-Ups,NULL,Lower Body,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
45,Side Leg Raises,NULL,Lower Body,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
46,Lateral Raises,NULL,Upper Body,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
47,Kettlebell Goblet Squats,NULL,Lower Body,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
48,Back Extensions,NULL,Lower Back,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
49,Stability Ball Pass,NULL,Core,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
50,Star Jumps,NULL,Plyometrics,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FALSE,FALSE
51,Pure Endure,"Get ready for a 500-rep full-body workout targeting your legs, shoulders, back, chest, arms, and abs! This session combines compound movements and full-body exercises at a sustainable pace, perfect for building muscle and strength. You’ll need your dumbbells and mat for this workout, which includes 10 exercises that work all major muscle groups. Each exercise focuses on maintaining form and full range of motion. Remember to stay hydrated and enjoy the energizing session!",Cardio,1:05:00,310,pictures/epic.jpg,https://youtu.be/_aZ1rMKECwA?si=btLd4XBk6MnUtB2R,https://youtu.be/FgqmrQ2rnfM?si=tXKzvgfOEMaukFqs,NULL,NULL,500 REP Full Body Challenge - Total Body Workout,500 Rep Cardio Challenge - Full Bodyweight Workout,NULL,NULL,"500 reps, 10 exercises, legs, shoulders, back, chest, arms and abs! Let’s hit our full body, build some muscle, become stronger and feel incredible for it! Compound movements and full body exercises all performed at a sustainable pace! Simply follow along and pause whenever you need to! For this full body dumbbell workout, you will simply need your dumbbells and mat! The dumbbells I am using for your reference are 15kg each and 9kg each.","500 rep cardio workout! 5 exercises, 100 reps each! It’s all about moderate pace! Simple movements, each one performed strict with the constant focus on form and full range! A more steady state approach with a sustainable pace is required! The abs focused exercises may be performed at a slightly faster pace if you prefer! Please note: you can step back as apposed to hopping back if you prefer into and out of any plank position! The aim is to perform each burpee variation with great form, fluidity, smoothness yet structure! You either count as you go at own pace or join my pace! We all find some exercises harder than others so just make sure you try to relax and enjoy this sweaty session! All you will need is a bottle of water handy and your mat!",NULL,NULL,FALSE,FALSE
52,Quick Cardio HITT,//,Cardio,00:36:59,280,pictures/cardio.jpg,https://youtu.be/Yay7uu_laOI?si=EpcnOYBnORyMDvSS,https://youtu.be/o7RSYUFVMek?si=gFC0eatOXSD7WEJA,https://youtu.be/_fesO5oNcEs?si=pLjSqsng1nM4dIx1,https://youtu.be/cOynmno-eZM?si=1aBIbj2pJMnFcUqJ,9 minute cardio hiit workout | bodyweight exercises with modifications,9 min intense cardio hiit workout | modifications included,9 MIN Cardio at home HIIT Workout | modifications included,Highly Effective Full Body Cardio HIIT Workout,"Try this 9 minute cardio hiit workout. Work up a huge sweat, burn tons of calories, torch fat and build muscle!","Try this 9 minute intense cardio hiit workout with modifications included. There is no equipment needed - just your body. Work up a sweat, burn calories, shred fat and build muscle!","Feel the burn with this 9 minute intense cardio hiit workout that you can add to your routine.With modifications included anyone can get sweating buckets. There is no equipment needed - just your body. Work up a sweat, burn calories, shred fat and build muscle!",Save time and burn fat with this highly effective Full Body Cardio HIIT workout that will help burn fat and build muscle. Expect to sweat buckets long after the workout is finished!,FALSE,FALSE
53,HITT Cardio Sessions,//,Cardio,0:26:57,190,pictures/cardio_hitt.jpg,https://youtu.be/wvod9nJ5d0Q?si=9wOm3LxU_ia6U-Si,https://youtu.be/WYzJ6RgN-Rk?si=Gb9JBE1GPq5bbrkd,NULL,NULL,15 min HIIT Workout Cardio Session,10 MIN CARDIO HIIT WORKOUT // Intense Calorie Burn,NULL,NULL,"Try this hiit workout cardio session to help you lose fat and sculpt your best body!! Our high intensity workout videos help you burn tons of calories, torch fat and build muscle!","Try this hiit workout cardio session to help you lose fat and sculpt your best body!! Our high intensity workout videos help you burn tons of calories, torch fat and build muscle!",NULL,NULL,FALSE,FALSE
54,Dumbell Abs and Core,"This 15-minute workout focuses on DEADBUG variations to strengthen the abdominal muscles and core. Using 6 kg dumbbells, you'll perform each exercise for 40 seconds, followed by 5 seconds of rest to transition between moves. You'll need a mat and a weight (8 kg for reference). Focus on aligning your body, keeping your lower back pressed to the mat, and engaging your core throughout the routine. This standing abs workout also engages your shoulders, arms, chest, and back, making it a comprehensive upper body workout. Inspired by boxing, you'll perform each exercise followed by alternating punches to boost intensity, with 20 seconds for each segment and 20 seconds of rest between exercises. Enjoy the challenge!",Core,0:47:16,240,pictures/dumbell_abs_core.jpg,https://youtu.be/TeNg1oTvlVM?si=iP0NqxXJXlI7LzgS,https://youtu.be/PWmj78iYlo8?si=DzINq6n8GhZD_3WT,https://youtu.be/QFwEQqbdCo4?si=J0988M4YGF6AZ6Of,NULL,12 Minute Dumbbell Deadbug AB WORKOUT,15 Min ENGAGING ABS & Core Workout,15 Min STANDING ABS WORKOUT,NULL,"Exactly as it states! A workout involving primarily DEADBUG variations to target and strengthen the abdominal muscles and entire core! The dumbbells I am using for your reference are 6kg each! The timer will be on for 40 seconds of work, with 5 seconds rest inbetween each exercise!","15 minute NO REPEAT ab & core workout using bodyweight and dumbbell as resistance for a perfect ab routine to be completed post main workout or even on its own! The timer will be on for 40 seconds of work, 5 seconds to get into position for next exercise! For this workout you will need a weight (the dumbbell I am using for your reference is 8kg) and a mat. Ensure to take your time moving from one movement to the next... if it takes you more than 5 seconds to get ready it’s ok! Ensure you are aligned, lower back pressed to mat and core braced.","We will be hitting our entire core in this 15 minute standing abs workout with dumbbells. Alongside the abs and core, the shoulders, arms, chest and back are involved so turning this into a great upper body workout too! Where else better go gain core training inspiration from than boxing! Boxers need to have a very strong core and obliques to resist and absorb impact and injury. I personally find I have gain a lot of core strength and strength of my obliques due to core stabilisation whilst my arms etc are moving and I am trying to resist movement in the core. Many of the moves involve trying to actually not move your core thus strengthening it... harder than it looks! We will be supersetting each of the following exercises with alternating punches for the entire duration to increase the intensity. The timer will be on for 20 seconds. Basically you perform each other following for 20 seconds, straight into those alternating punches for 20 seconds then rest for 20 seconds before moving onto the next exercise.",NULL,FALSE,FALSE
55,Ab Core Workout,"Get ready for a focused 15-minute workout targeting the lower abdominal muscles! You’ll perform each exercise for 45 seconds, followed by 30 seconds of small tucks, where you lift your pelvis and draw your knees toward your chest. This routine is straightforward yet intense, designed to effectively work your core! Enjoy the burn!",Core,0:31:08,210,pictures/ab_core.jpg,https://youtu.be/Ar6J7ySm2cE?si=lFY07LUNR3pwXCj4,https://youtu.be/hPi79mq_1rE?si=uiYcWITgXaR1jkSb,NULL,NULL,12 Minute 4x4 Abs Workout at Home - No Equipment,15 Minute Tucked Abs Workout - Bodyweight Only,NULL,NULL,A simple yet very effective routine to work the ab muscles and core! Straight to the point and intense! The main focus for this routine is that lower back pressed into the mat the entire time… it doesn’t matter how low you lower the legs but so important to only lower to where you can keep that back PRESSED into the mat!,"Ready for 15 minutes working on the lower abdominal muscles primarily!? The timer will be on for 45 seconds each exercise followed by straight into the staple of small tucks for 30 seconds! So after each exercise, there will be those small tucks where you are aiming to lift pelvis and tuck so the knees come to the chest! All you need is your mat and 15 minutes to really engage the deep transverse abdominal muscles and of course the rectus abdominis muscles! Slow and controlled…. Constantly thinking throughout as you perform each movement aiming to lift with the ab muscles and lower with control! The staple of a ‘small tuck’ is performed for 20 seconds following every movement! This small tuck is literally as it suggests… a small tuck involving bringing the knees tight to the chest!",NULL,NULL,FALSE,FALSE
56,Ab Core HITT,"Try these 9-minute HIIT workouts for your abs, obliques, and serratus! It requires no equipment—just your body. Get ready to sweat, burn calories, shred fat, and build muscle. Remember to like the video and leave a comment to share how it went!",Core,0:36:59,280,pictures/ab_core_hitt.jpg,https://youtu.be/E51ViOcTtK4?si=nzYg2T4_gdyznJWY,https://youtu.be/Uy15WLI4KCU?si=0e1Wugko2EMK26oY,https://youtu.be/a3X80VyKfkk?si=_5gGKScnzLSPlHHg,https://youtu.be/lY8W8rCw9EI?si=El170rjoK9oKlMz-,9 min intense hiit workout for abs | bodyweight,9 minute intense hiit workout for abs | no equipment,9 minute hiit workout for abs | bodyweight exercises,9 MIN BURN ABS HIIT Workout at Home [Bodyweight],"Try this 9 minute hiit workout for your abs, obliques and serratus. Work up a huge sweat, burn tons of calories, torch fat and build muscle! Remember to like the 🔥video and drop us a comment to let us know how you got on.","Try this 9 minute abs and core hiit workout targetting your abs, obliques and serratus. Work up a huge sweat, burn calories, shred fat and build muscle! Remember to like the video and drop us a comment to let us know how you got on.","Try this 9 minute hiit workout for your abs using no equipment - just your body. Work up a huge sweat, burn loads of calories, torch fat and build muscle! Remember to like the video and drop us a comment to let us know how you got on.","This is a must try this 9 minute hiit workout for your abs using no equipment - just your body. Work up a huge sweat, burn loads of calories, torch fat and build muscle!",FALSE,FALSE
57,Legs and Glutes,"Get ready for an intense leg workout focusing on your quads, hamstrings, and glutes! This circuit combines dumbbell and bodyweight exercises, requiring a pair of dumbbells (I’m using 12.5 kg each), a chair for Bulgarian lunges and single-leg RDLs, a yoga block or thick book, and your mat. We'll work for 50 seconds with a 10-second rest between exercises, completing each circuit twice. This glute-focused session includes various hip thrusts to engage all glute muscles, helping improve performance and prevent injuries. Grab heavier weights—one or two dumbbells, a barbell, or a kettlebell—and don’t forget a glute band and a towel for added comfort during hip thrusts. Let’s get to work and fire up those glutes!",Lower Body,1:37:21,290,pictures/legday.jpg,https://youtu.be/Z42K5PmpH7k?si=BnJYVpglClcUyQo1,https://youtu.be/L5v6Df__4l0?si=LFBubsqcGNik3z6_,NULL,NULL,LEG DAY WORKOUT with Dumbbells - Strong Legs,GLUTE WORKOUT with Dumbbells - Glutes Isolation,NULL,NULL,"So many of our favourite exercises in today’s leg workout! We will strengthen the quads, hamstrings and glutes as we perform a wide variety of lower body exercises using dumbbells and bodyweight as resistance in circuit format but as always the bodyweight portion isn’t easier! For this leg day, you will need a pair of dumbbells, a chair for Bulgarian lunges and single leg RDLs, a yoga block/thick book and your mat! The dumbbells I am using for your reference are 12.5kg each! Some of the exercises involve x2 dumbbells, 1 or bodyweight but of course you can use 2 where I maybe use 1 depending on the weight you are using! The timer will be on for 50 seconds of work, 10 seconds rest before moving to the next exercise within the circuit! We will perform each circuit x2, straight after one another. Once we complete the circuits for 2 rounds, we then have just over 1 minute rest before beginning next circuit!","This glute focused workout is all about putting the work in! Packed with hip thrust variations, it is up to you to perform every single rep to the great range in motion possible. Hitting all of the muscles that make up the glutes, with assistance from the hamstrings and quads, this is a very demanding workout when you do it right! The ‘glutes’ are made up of many muscles, deep and superficial. We regularly hear about the more superficial muscles (gluteus maximus, medius and minimus) however the deep smaller muscles all have important roles to play in stabilising the pelvis and lateral rotation of legs. Why train the glutes? Strengthening the glute muscles can bring many benefits including reduced risk of dominance of over muscles such as hamstrings, quads and adductors, which can lead to imbalances and increased risk of injury; improvements to overall training performance (absorption of impact ie. jumping with more of the impact going to hips as apposed to knees); can alleviate lower back & knee pain associated with weak glutes; increases to bone density, improved posture and of course those physical goals. For this glute session, you will need a heavier weight(s), such as x1 dumbbell, x2 dumbbells, barbell, kettlebell! A comfortable chair/sofa/bench for hip thrusts is perfect but you can absolutely perform bridges in the mat if you prefer as with a yoga block for elevated lunges as you can perform regular with both feet on the ground! A glute band is needed and an option is a towel to place under weight to make hip thrusts more comfortable!",NULL,NULL,FALSE,FALSE
58,Bodyweight Lower Body,"Get ready for a 15-minute bodyweight explosive leg workout combining isometrics and plyometrics! You’ll need a chair and possibly a mat for kneeling support. This routine emphasizes quality over quantity, focusing on deep iso holds followed by explosive jumps while landing softly back into the hold. Targeting your quads, hamstrings, glutes, calves, and adductors, we’ll work continuously for 45 seconds per exercise, keeping tension without specific rest periods. Using a block or small step will enhance lunges and squats for greater depth. Each exercise lasts 50 seconds, with 10 seconds to transition. Get ready to feel the burn in your lower body!",Lower Body,0:54:34,270,pictures/bodyweight_lower_body.jpg,https://youtu.be/KNSwNKt65Vk?si=aSFAp9YYBvz-jURf,https://youtu.be/gd7iOXJHvFw?si=D-AlbG-ZAcTR5Gwf,https://youtu.be/p-R0HSfL6nw?si=xweOLsCP373EXm8a,https://youtu.be/k8_EmzD1trk?si=olsdIW0MYfdQi7jd,15 MIN EXPLOSIVE LEG WORKOUT,15 Min Wall Sit Challenge,10 Minute Squat and Lunge Workout,5 Minute Leg Workout,15 minute bodyweight only explosive leg workout with combining isometrics and plyometrics! All you will need for this explosive workout is a chair and perhaps a mat for knees for any kneeling! Quality over quantity definitely applies here! This is not like a typical HIIT workout where you are performing as many reps as possible... more about holding as best and deep you can prior to exploding out of the iso hold! You then land as softly as possible straight into that hold again! The legs will feel fatigue!!,"A fun challenge to get your entire lower body on fire! Quads, hamstrings, glutes, calves and adductors will be targeted to improve muscular endurance and strength! The timer will be on continuously for 45 seconds of work! There is no specific rest period in order to try to keep tension on but take a moment when you need to to fully stand!","Here’s a quick lunge and squat combination using only a block/step/small box to provide some uneven positioning in the squat and front foot elevation in the lunges to allow for greater depth! These exercises will provide a lot of work for the quads, hamstrings and glutes! Really try to focus on depth of your squats and lunges while keeping good form! Simply perform each exercise for 50 seconds with 10 seconds to prepare for next exercise... all done in 10 minutes!",Here is an absolute favourite of mine if I have 5 minutes and wanted to work my legs and include some calf work! Simply try to balance throughout on your tip toes! Looks easy.... but it is tricky lowering into and out of squats with holding this balance!,FALSE,FALSE
59,Knee Friendly Lower Body Workout,"This glute workout emphasizes the mind-to-muscle connection to maximize results. Focus on fully contracting your glutes at the top of each movement and slowly releasing for optimal engagement. In this 20-minute knee-friendly leg routine, you can use body weight or 2 kg ankle weights. Targeting the hamstrings, glutes, quads, and calves, it avoids squats and lunges, making it suitable for those with knee concerns. You'll need a mat, a towel or ball for between your knees, a wall, and dumbbells for Romanian deadlifts. The workout includes 50 seconds of work followed by holds or pulses, with 1-minute wall sits and Romanian deadlifts for 50 seconds, taking 10 seconds of rest in between. Listen to your body and adjust as needed!",Lower Body,0:49:46,220,pictures/knee_friendly_workout.jpg,https://youtu.be/WWu9E0terf4?si=gtDwlhYUmVYEtGqY,https://youtu.be/qdYGi4XsoE8?si=SFMCJCcOI74IjITh,NULL,NULL,20 Minute Glute Workout with Ankle Weights,20 MIN KNEE FRIENDLY LEG WORKOUT with Dumbbells,NULL,NULL,"This glute workout will demand that you really focus… focus during each rep on that mind to muscle process in order to maximise the benefits of this workout. Full contraction of the glute muscles at the top of the movement, slow release of those muscles to lower and thinking about almost turning off all muscles aside from the glute to lift! This workout can be made a lot easier or a lot more challenging! And in order to make it more challenging, that mind to muscle connection is so important!! This workout can be performed bodyweight only or with ankle weights! The ankle weights I am using for your reference are 2kg each!","20 min knee friendly LEG WORKOUT targeting the areas surrounding the knee: hamstrings, glutes, quads and calves. This 20 minute leg workout has no squats or lunges so will be great for many who for different reasons, do not perform these movements however it is still your responsibility to listen to your body. Only lower/lift/hold etc to where you can and not put stress on knees. You will need your mat, a towel/ball to place between knees, a wall and a pair of dumbbells for the Romanian Deadlifts. The timer will be on for 50 seconds of work, followed immediately by either holds or pulses of the same movement!! Towards the end, the wall sits are for 1 minute duration whilst the Romanian deadlifts are for 50 seconds each with 10 seconds rest in between.",NULL,NULL,FALSE,FALSE
